user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,experiment,run_date,chunk_size,chunk_overlap,top_k,fetch_k,lambda_mult,use_reranker,reranker_model,reranker_top_n,embedding_model,search_type,generation_llm,judge_llm
What are the two types of hospital admissions described in the guidelines?,"['•  Close multidisciplinary team work.\n\n   •  National agreed standardised triage processes to ensure clinical prioritisation of patients\n\n     on their arrival in the Emergency Department and to ensure timely and appropriate care is\n\n       delivered.\n\n   •  Patients should be streamed into the following categories:\n\n          - resuscitation;\n\n          - minor illness and injury stream (patients who are unlikely to be admitted);\n\n          - paediatric cases;\n\n          - specialised medical/surgical team assessment for patients who may require\n\n            admission; and\n\n          - psychiatric case assessment service.\n\n   •  Care pathways to minimise delays in the Emergency Department if admission is definite.', '(e.g. General Practitioner, Practice Nurse), Secondary (e.g. Acute Hospital), Community and\n\n             Continuing Care Services (e.g Cottage Hospital and Hospice).\n\n\n          A system wide approach will require the enhancement of relationships between hospitals and\n\n             primary care, pre-hospital care, emergency transport and community care.\n\n\n\n\n\n             Admissions and Discharge Guidelines - 6', 'Executive Summary\n\n\n        Introduction\n\n\n\n            Admission to an acute hospital may be planned (elective) or may be required as a matter of\n\n            urgency (emergency). Elective admissions are those which occur as a consequence of referral to\n\n              hospital by a general practitioner, medical consultant, a visit to the hospital outpatient\n\n            department or a planned transfer from another hospital. Some patients may confound these\n\n               definitions e.g. patients requiring chemotherapy who may be both urgent and planned.\n\n\n             These guidelines have been developed in response to the National Health Strategy, Quality and\n\n              Fairness (DOHC 2001) which states, among other things, that']",The two types of hospital admissions described in the guidelines are planned (elective) admissions and urgent (emergency) admissions.,"The guidelines describe two types of hospital admissions: elective admissions, which are planned, and emergency admissions, which are unplanned and require urgent care.",0.5,1.0000000000000002,0.3333333333,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
What are the five strategic objectives of an effective admissions and discharge policy?,"['Strategic objectives\n\nThe key strategic objectives underpinning an effective and coherent admissions and discharge\n\npolicy for emergency and elective patients are:\n\n\n   •  The provision of an integrated personal health and social services system resulting in\n\n      seamless patient centred care at all times.\n\n   •  The utilisation of resources to maximise clinical and organisational effectiveness and\n\n      outcomes.\n\n   •  The establishment of fully integrated networks of acute care which are accessible to each\n\n       person.\n\n   •  The provision of levels of local access to acute care whilst at the same time ensuring high\n\n       quality clinical care.\n\n   •  The acquisition of clinical admissions data to assist service planning and monitoring.', 'Best Practice, Protocols and Policies for\n\nImproving Emergency, and Elective\n\nAdmissions and Discharges\n\n\n        Introduction\n\n\n\n           Bed management within the hospital setting is often the driver for the development of policy in\n\n               relation to patient admission and discharges. Best practice should underpin the development of\n\n            bed management policies to enhance the effective management of emergency and elective\n\n             admissions and discharges.\n\n\n            The events of admission and discharge are pivotal in an integrated approach to bed management,\n\n             together with the central position of the patient in the decision making process. 13 This requires', 'admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient\n\n      and relevant personnel within 24 hours of admission.\n\n   •  Discharge should be “streamlined” (e.g. prescriptions and letter should be completed in a\n\n       timely manner, transport booked and test results made available promptly).\n\n   •  Complex discharges should be discussed at a regular multidisciplinary forum to ensure\n\n       discharge is expedited.\n\n\n\nWhat are the processes required for effective discharge planning?\n\n   •  There should be an organisation led commitment to manage all hospital beds.\n\n   •  Resources such as a discharge co-ordinator to ensure delays are minimised and extensive']","The five strategic objectives of an effective admissions and discharge policy are:

1. The provision of an integrated personal health and social services system resulting in seamless patient centred care at all times.
2. The utilisation of resources to maximise clinical and organisational effectiveness and outcomes.
3. The establishment of fully integrated networks of acute care which are accessible to each person.
4. The provision of levels of local access to acute care whilst at the same time ensuring high quality clinical care.
5. The acquisition of clinical admissions data to assist service planning and monitoring.","The objectives are to provide integrated patient-centred care, maximize clinical and organizational effectiveness, establish integrated acute care networks, ensure local access with high-quality care, and acquire admissions data for planning and monitoring.",0.8888888888888888,1.0,0.9999999999,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
What hospital bed occupancy level is considered desirable for balancing emergency and elective admissions?,"['Emergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from\n\ntrauma (injury) or acute illness which cannot be treated on an outpatient basis.5\n\n\nIn order to manage the balance between elective and emergency admissions, the factors below\n\nhave been identified as effective in improving the management of admissions and general patient\n\nflow in the Emergency Department (ED):\n\n\n   •  Where there is a mix of elective and emergency admission in hospitals, occupancy levels\n\n      should allow for flexibility in dealing with the natural ebb and flow of illness and injury in\n\n      the community. Thus, a level of about 85% hospital bed occupancy is desirable.', 'should allow for flexibility in dealing with the natural ebb and flow of illness and injury in\n\n      the community. Thus, a level of about 85% hospital bed occupancy is desirable.\n\n   •  Having a senior medical presence in the emergency department at all times. Only\n\n       appropriately assessed patients should be placed in a hospital bed options for outpatient,\n\n      day care and primary care (including home care and ambulatory practice) should be\n\n      maximised.\n\n   •  Investment to support adequate provision of primary and community care so as to:\n\n             - reduce avoidable attendances at the ED; and\n\n             - support early discharge from hospitals where appropriate.6,7\n\n\n\n\n\nAdmissions and Discharge Guidelines - 10', 'Elective admissions\n\nAchieving the correct balance between the competing demands for hospital beds by elective and\n\nemergency cases of varying complexity is likely to remain a considerable challenge for the future.\n\n\nIn order to improve the experience of patients waiting for elective admission, the following\n\npriorities have been identified:\n\n\n   •  Local clinical consensus on the ratio of emergency admissions to planned elective\n\n       procedures.\n\n   •  Measures to review and monitor criteria for hospital admission and for lengths of stay.\n\n   •  Greater emphasis on ensuring that in admitting elective patients, consideration is given to\n\n      the length of time they have been waiting since the decision to admit was taken - taking\n\n      account of their clinical needs.']",A hospital bed occupancy level of about 85% is considered desirable for balancing emergency and elective admissions.,A hospital bed occupancy level of about 85% is considered desirable.,0.6666666666666666,0.9924264597212201,0.99999999995,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
How is an emergency hospital admission defined?,"['Emergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from\n\ntrauma (injury) or acute illness which cannot be treated on an outpatient basis.5\n\n\nIn order to manage the balance between elective and emergency admissions, the factors below\n\nhave been identified as effective in improving the management of admissions and general patient\n\nflow in the Emergency Department (ED):\n\n\n   •  Where there is a mix of elective and emergency admission in hospitals, occupancy levels\n\n      should allow for flexibility in dealing with the natural ebb and flow of illness and injury in\n\n      the community. Thus, a level of about 85% hospital bed occupancy is desirable.', 'they are entitled, resources must be efficiently and effectively utilised. Services are organised so\n\nthat patients, depending on their needs, can move smoothly between emergency care and the\n\nbest and most appropriate inpatient care, primary care and continuing care.2\n\n\nEffective quality assurance and safe care are essential rights of all users of the health services.\n\nAchieving the standards set by the Irish Health Services Accreditation Board will ensure that all\n\nhospitals are providing such care.\n\n\n\nEmergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from\n\ntrauma (injury) or acute illness which cannot be treated on an outpatient basis.5', 'Executive Summary\n\n\n        Introduction\n\n\n\n            Admission to an acute hospital may be planned (elective) or may be required as a matter of\n\n            urgency (emergency). Elective admissions are those which occur as a consequence of referral to\n\n              hospital by a general practitioner, medical consultant, a visit to the hospital outpatient\n\n            department or a planned transfer from another hospital. Some patients may confound these\n\n               definitions e.g. patients requiring chemotherapy who may be both urgent and planned.\n\n\n             These guidelines have been developed in response to the National Health Strategy, Quality and\n\n              Fairness (DOHC 2001) which states, among other things, that']",An emergency hospital admission is defined as one that is not planned and which results from trauma (injury) or acute illness which cannot be treated on an outpatient basis.,An emergency hospital admission is an unplanned admission resulting from trauma or acute illness that cannot be treated on an outpatient basis.,1.0,0.9800588562009948,0.99999999995,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
"According to the guidelines, when should discharge planning begin?","['Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient\n\n      and relevant personnel within 24 hours of admission.', '•  The anticipated length of stay (this should be indicated as early as possible to facilitate\n\n       scheduling) for elective admissions should be indicated as early as possible to facilitate\n\n       scheduling.\n\n   •  Increased day surgery can also be supported by before admission assessment to ensure\n\n       appropriate scheduling and to minimise transfer to inpatient beds.\n\n   •  Discharge lounges may be used to facilitate early discharge as well as accommodation for\n\n      “day of surgery” arrivals and timely commencement of theatre lists.\n\n\n\nDischarges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to', 'and users.\n\n   •  A range of tools to support effective service delivery, including:\n\n          - Referral guidelines and protocols for consultant care and diagnostic services.\n\n          - Discharge plans agreed between the hospital and a key worker in primary care.\n\n          - Discharge planning that commences on day of admission.\n\n          - Efficient communication from acute care service providers e.g. discharge letter\n\n          accompany patient or/and e-mailed to GPs and key worker on or before the day\n\n            of discharge.\n\n          - Integrated care pathways facilitated by key workers.\n\n          - Individual care plans appropriate to the needs of the patient and their carers\n\n             are developed by the multidisciplinary team and in collaboration with them']","Discharge planning should commence pre-admission. On admission, the patient’s pre-morbid and functional status information are documented to inform discharge planning.",Discharge planning should begin during the pre-admission stage and continue from the day of admission.,1.0,0.8866120118035533,0.99999999995,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
What information should patients receive during the pre-admission visit?,"['appropriate.\n\n   •  Pre-admission assessment aims to optimise a patient’s health status before planned\n\n      admission to hospital.\n\n   •  At the pre-admission visit, the patient and his/her carers are properly informed about\n\n        their medical condition, proposed treatment and likely hospital procedures.\n\n   •  The patient’s General Practitioner and/or the Primary Care Team with which the patient\n\n         is enrolled should be involved in the pre-admission process, as appropriate.\n\n   •  The planning for the patient’s discharge from hospital should begin at the pre-\n\n      admission visit and co-ordination of the patient’s care for both admission and\n\n       discharge is commenced at the pre-admission visit.', 'admission visit and co-ordination of the patient’s care for both admission and\n\n       discharge is commenced at the pre-admission visit.\n\n   •  Patient information is co-ordinated and made available to all relevant providers in an\n\n        efficient and timely manner.\n\n   •  Pre-admission planning to facilitate ‘day of surgery admission’ where appropriate.\n\n   •  Pre-admission services may require a dedicated individual e.g. Admissions Manager.\n\n   •  Referral pathways for primary care should enhance service delivery and complement\n\n      the streaming of patients into appropriate diagnostic and therapeutic services within\n\n      the acute setting.\n\n   •  Integrated service delivery using a range of tools to support the process, for example:12', '•  Decision support systems enhance consistency of decision making such as nurse led\n\n      telephone triage can be used to enhance consistency of medical and nursing decision\n\n      making. (e.g. NHS direct telephone advice service).\n\n   •  There should be regular and influential audit of clinical activity.\n\n   •  The critical role of Health Care Staff should be acknowledged with appropriate support for\n\n       professional development and influence in decision making at all levels.\n\n\n\nElective admissions\n\n\nWhat are the key principles in planning elective hospital admissions ?\n\nA patient’s episode of care should be planned before his/her admission and should take account\n\nof the entire “journey” up to and after discharge from hospital. Patient’s and their carers should']","During the pre-admission visit, patients and their carers should be properly informed about their medical condition, proposed treatment, and likely hospital procedures.","Patients and their carers should be informed about the patient's medical condition, proposed treatment, and likely hospital procedures.",1.0,0.9392964791917193,0.9999999999,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
Into which five categories should Emergency Department patients be streamed?,"['•  Close multidisciplinary team work.\n\n   •  National agreed standardised triage processes to ensure clinical prioritisation of patients\n\n     on their arrival in the Emergency Department and to ensure timely and appropriate care is\n\n       delivered.\n\n   •  Patients should be streamed into the following categories:\n\n          - resuscitation;\n\n          - minor illness and injury stream (patients who are unlikely to be admitted);\n\n          - paediatric cases;\n\n          - specialised medical/surgical team assessment for patients who may require\n\n            admission; and\n\n          - psychiatric case assessment service.\n\n   •  Care pathways to minimise delays in the Emergency Department if admission is definite.', 'Emergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from\n\ntrauma (injury) or acute illness which cannot be treated on an outpatient basis.5\n\n\nIn order to manage the balance between elective and emergency admissions, the factors below\n\nhave been identified as effective in improving the management of admissions and general patient\n\nflow in the Emergency Department (ED):\n\n\n   •  Where there is a mix of elective and emergency admission in hospitals, occupancy levels\n\n      should allow for flexibility in dealing with the natural ebb and flow of illness and injury in\n\n      the community. Thus, a level of about 85% hospital bed occupancy is desirable.', 'together with the central position of the patient in the decision making process. 13 This requires\n\n           an integrated multidisciplinary team approach to care delivery, necessitating the development of\n\n              care pathways, clinical protocols and standards, which can be audited and evaluated to\n\n            demonstrate clinical effectiveness /patient outcomes.\n\n\n\n\n       Emergency Department (ED) admissions\n\n\n             Principles for admitting Emergency Department admissions\n\n             Only emergency patients should be admitted to hospital through the Emergency Department. This\n\n          may require a subtle shift of emphasis from “semi elective” admission to more rigorous']","Emergency Department patients should be streamed into the following five categories:

1. Resuscitation
2. Minor illness and injury stream (patients who are unlikely to be admitted)
3. Paediatric cases
4. Specialised medical/surgical team assessment for patients who may require admission
5. Psychiatric case assessment service","Patients should be streamed into resuscitation, minor illness and injury, paediatric cases, specialised medical or surgical assessment, and psychiatric assessment.",1.0,0.9285098411425259,0.9999999999,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
What are the core principles of effective discharge planning?,"['Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient\n\n      and relevant personnel within 24 hours of admission.', 'What are the Principles Underpinning\n\nBest Practice in Hospital Admissions?\n\n\n\n          A number of principles should underpin the development of an effective emergency and elective\n\n             admissions and discharge planning function. These include:\n\n\n              •  The provision of patient centred services, which are accessible to the population without\n\n                  compromising safety, quality and clinical standards, to the right people in the right\n\n                     location and at the right time.1\n\n              •  Patients should be consulted and included in all decisions about their care.\n\n              •   Clinical practice and care should be based on the most up to date evidence.', 'Good discharge management is vital to ensure:\n\n\n   •  patient satisfaction;\n\n   •  bed availability for emergency and elective admissions; and\n\n   •  quality of patient care remains high.4\n\n\nSeveral key priorities in effective discharge and transfer of care have been identified.\n\nThese include:\n\n\n   •  The engagement and active participation of the individual and their carer as partners with\n\n        clinical staff.\n\n   •  Staff co-operating within a framework of integrated multidisciplinary and multiagency\n\n      teamwork to manage all aspects of the discharge process. The process of discharge\n\n      planning may be co-ordinated by a named person who has responsibility for co-ordinating\n\n         all stages of the “patient journey”.']","The core principles for effective discharge planning are:

   •  A patient’s use of a hospital bed and their discharge should be planned before their admission, where possible.

   •  The estimated date of discharge should be documented and communicated to the patient and relevant personnel within 24 hours of admission.","Hospital bed use and discharge should be planned before admission where possible, the estimated discharge date should be documented within 24 hours, discharge should be streamlined, and complex discharges should be discussed in multidisciplinary forums.",1.0,0.9954990502372429,0.8333333332916666,0.5,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
Who should coordinate a patient's discharge plan?,"['planning may be co-ordinated by a named person who has responsibility for co-ordinating\n\n         all stages of the “patient journey”.\n\n   •  Effective use is made of transitional and intermediate care services, so that existing acute\n\n       hospital capacity is used appropriately and individuals achieve their optimal health\n\n      outcome.1\n\n   •  Specialised expertise and/or support services for special needs cases e.g. the homeless and\n\n       ethnic minorities.\n\n\n\n\n\nAdmissions and Discharge Guidelines - 12', 'Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient\n\n      and relevant personnel within 24 hours of admission.', 'Good discharge management is vital to ensure:\n\n\n   •  patient satisfaction;\n\n   •  bed availability for emergency and elective admissions; and\n\n   •  quality of patient care remains high.4\n\n\nSeveral key priorities in effective discharge and transfer of care have been identified.\n\nThese include:\n\n\n   •  The engagement and active participation of the individual and their carer as partners with\n\n        clinical staff.\n\n   •  Staff co-operating within a framework of integrated multidisciplinary and multiagency\n\n      teamwork to manage all aspects of the discharge process. The process of discharge\n\n      planning may be co-ordinated by a named person who has responsibility for co-ordinating\n\n         all stages of the “patient journey”.']",The discharge planning process may be co-ordinated by a named person who has responsibility for co-ordinating all stages of the “patient journey.”,A nominated member of the multidisciplinary team should coordinate the patient's discharge plan.,1.0,0.8553987324334591,0.8333333332916666,1.0,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
What responsibilities are assigned to the Hospital Bed Manager?,"['A patient’s episode of care should be planned before his/her admission and should take account\n\nof the entire “journey” up to and after discharge from hospital. Patient’s and their carers should\n\nbe partners in this planning. Bed management should be overseen by a Hospital Bed Manager\n\n(HBM) who has the authority to implement the bed management policy and to co-ordinate the\n\nbed management team. The bed management service should operate on a permanent basis, i.e.\n\nfor 24 hours on every day of the year. The bed manager reports to a senior member of\n\nmanagement. Part of their role would include continuous analysis and the provision of reports\n\nand forecasts.\n\n\nThe function of allocating beds to patients should be centralised and the Hospital Bed Manager', 'and forecasts.\n\n\nThe function of allocating beds to patients should be centralised and the Hospital Bed Manager\n\nshould have authority over the access to all hospital beds. There should be an awareness of the\n\nbed designation ration as set out by the Department of Health and Children. The Hospital Bed\n\nManager should work within the notional allocation of beds to each speciality to ensure that\n\npatients are accommodated in the most appropriate bed available at the time of their admission,\n\nand to ensure that patients are cared for by staff with the appropriate expertise.\n\n\n\nWhat are the key processes for effective elective admissions?\n\nThe following key requirements have been identified to facilitate effective elective admission\n\npractices:', '•  There should be an organisation led commitment to manage all hospital beds.\n\n   •  Resources such as a discharge co-ordinator to ensure delays are minimised and extensive\n\n       patient and family involvement in decision making processes.\n\n   •  Referrals to physiotherapy, occupational therapy should be identified as early as possible\n\n      with access to aids and appliances as appropriate.\n\n   •  Discharge documentation should be audited to ensure compliance with hospital protocols.\n\n\n\n\n\nAdmissions and Discharge Guidelines - 19']","The responsibilities assigned to the Hospital Bed Manager include:

1. Implementing the bed management policy.
2. Coordinating the bed management team.
3. Overseeing bed management on a permanent basis (24 hours every day of the year).
4. Reporting to a senior member of management.
5. Continuous analysis and provision of reports and forecasts.
6. Centralizing the function of allocating beds to patients.
7. Having authority over access to all hospital beds.
8. Ensuring awareness of the bed designation ratio set out by the Department of Health and Children.
9. Working within the notional allocation of beds to each specialty to accommodate patients in the most appropriate bed available at the time of admission.
10. Ensuring patients are cared for by staff with the appropriate expertise.","The Hospital Bed Manager oversees bed management, coordinates bed allocation, manages hospital bed resources, monitors bed utilization, and reports to senior management.",1.0,0.9758158093180104,0.99999999995,0.8,all-mpnet-base-v2_chunk800_overlap200_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-06-30 12:56:55,800,200,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-4o-mini
