user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,experiment,run_date,chunk_size,chunk_overlap,top_k,fetch_k,lambda_mult,use_reranker,reranker_model,reranker_top_n,embedding_model,search_type,generation_llm,judge_llm
What are the two types of hospital admissions described in the guidelines?,"['beds).\n\n   •  Early Senior Medical decision making available at the point of admission.\n\n   •  Close multidisciplinary team work.\n\n   •  National agreed standardised triage processes to ensure clinical prioritisation of patients\n\n     on their arrival in the Emergency Department and to ensure timely and appropriate care is\n\n       delivered.\n\n   •  Patients should be streamed into the following categories:\n\n          - resuscitation;\n\n          - minor illness and injury stream (patients who are unlikely to be admitted);\n\n          - paediatric cases;\n\n          - specialised medical/surgical team assessment for patients who may require\n\n            admission; and', '•  Greater emphasis on ensuring that in admitting elective patients, consideration is given to\n\n      the length of time they have been waiting since the decision to admit was taken - taking\n\n      account of their clinical needs.\n\n   •  Greater standardisation of waiting list administration with consistent monitoring of\n\n       cancellations, suspensions and removal from lists without treatment.\n\n   •  Emphasis on planning discharge from day of admission.\n\n   •  The adoption of a whole systems approach to bed management.\n\n   •  The appointment of a manager or clinician with sufficient authority and support to', 'Executive Summary\n\n\n        Introduction\n\n\n\n            Admission to an acute hospital may be planned (elective) or may be required as a matter of\n\n            urgency (emergency). Elective admissions are those which occur as a consequence of referral to\n\n              hospital by a general practitioner, medical consultant, a visit to the hospital outpatient\n\n            department or a planned transfer from another hospital. Some patients may confound these\n\n               definitions e.g. patients requiring chemotherapy who may be both urgent and planned.\n\n\n             These guidelines have been developed in response to the National Health Strategy, Quality and']",The two types of hospital admissions described in the guidelines are planned (elective) admissions and urgent (emergency) admissions.,"The guidelines describe two types of hospital admissions: elective admissions, which are planned, and emergency admissions, which are unplanned and require urgent care.",1.0,1.0000000000000002,0.5833333333041666,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
What are the five strategic objectives of an effective admissions and discharge policy?,"['Strategic objectives\n\nThe key strategic objectives underpinning an effective and coherent admissions and discharge\n\npolicy for emergency and elective patients are:\n\n\n   •  The provision of an integrated personal health and social services system resulting in\n\n      seamless patient centred care at all times.\n\n   •  The utilisation of resources to maximise clinical and organisational effectiveness and\n\n      outcomes.\n\n   •  The establishment of fully integrated networks of acute care which are accessible to each\n\n       person.\n\n   •  The provision of levels of local access to acute care whilst at the same time ensuring high\n\n       quality clinical care.', '•  Greater emphasis on ensuring that in admitting elective patients, consideration is given to\n\n      the length of time they have been waiting since the decision to admit was taken - taking\n\n      account of their clinical needs.\n\n   •  Greater standardisation of waiting list administration with consistent monitoring of\n\n       cancellations, suspensions and removal from lists without treatment.\n\n   •  Emphasis on planning discharge from day of admission.\n\n   •  The adoption of a whole systems approach to bed management.\n\n   •  The appointment of a manager or clinician with sufficient authority and support to', 'Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient']","The five strategic objectives of an effective admissions and discharge policy are:

1. The provision of an integrated personal health and social services system resulting in seamless patient centred care at all times.
2. The utilisation of resources to maximise clinical and organisational effectiveness and outcomes.
3. The establishment of fully integrated networks of acute care which are accessible to each person.
4. The provision of levels of local access to acute care whilst at the same time ensuring high quality clinical care.
5. Greater emphasis on ensuring that in admitting elective patients, consideration is given to the length of time they have been waiting since the decision to admit was taken, taking into account their clinical needs.","The objectives are to provide integrated patient-centred care, maximize clinical and organizational effectiveness, establish integrated acute care networks, ensure local access with high-quality care, and acquire admissions data for planning and monitoring.",0.7857142857142857,1.0,0.9999999999,0.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
What hospital bed occupancy level is considered desirable for balancing emergency and elective admissions?,"['should allow for flexibility in dealing with the natural ebb and flow of illness and injury in\n\n      the community. Thus, a level of about 85% hospital bed occupancy is desirable.\n\n   •  Having a senior medical presence in the emergency department at all times. Only\n\n       appropriately assessed patients should be placed in a hospital bed options for outpatient,\n\n      day care and primary care (including home care and ambulatory practice) should be\n\n      maximised.\n\n   •  Investment to support adequate provision of primary and community care so as to:\n\n             - reduce avoidable attendances at the ED; and', 'Emergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from\n\ntrauma (injury) or acute illness which cannot be treated on an outpatient basis.5\n\n\nIn order to manage the balance between elective and emergency admissions, the factors below\n\nhave been identified as effective in improving the management of admissions and general patient\n\nflow in the Emergency Department (ED):\n\n\n   •  Where there is a mix of elective and emergency admission in hospitals, occupancy levels\n\n      should allow for flexibility in dealing with the natural ebb and flow of illness and injury in', 'Best Practice, Protocols and Policies for\n\nImproving Emergency, and Elective\n\nAdmissions and Discharges\n\n\n        Introduction\n\n\n\n           Bed management within the hospital setting is often the driver for the development of policy in\n\n               relation to patient admission and discharges. Best practice should underpin the development of\n\n            bed management policies to enhance the effective management of emergency and elective\n\n             admissions and discharges.\n\n\n            The events of admission and discharge are pivotal in an integrated approach to bed management,']",A hospital bed occupancy level of about 85% is considered desirable for balancing emergency and elective admissions.,A hospital bed occupancy level of about 85% is considered desirable.,0.5,0.9999999999999999,0.9999999999666667,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
How is an emergency hospital admission defined?,"['Emergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from\n\ntrauma (injury) or acute illness which cannot be treated on an outpatient basis.5\n\n\nIn order to manage the balance between elective and emergency admissions, the factors below\n\nhave been identified as effective in improving the management of admissions and general patient\n\nflow in the Emergency Department (ED):\n\n\n   •  Where there is a mix of elective and emergency admission in hospitals, occupancy levels\n\n      should allow for flexibility in dealing with the natural ebb and flow of illness and injury in', 'they are entitled, resources must be efficiently and effectively utilised. Services are organised so\n\nthat patients, depending on their needs, can move smoothly between emergency care and the\n\nbest and most appropriate inpatient care, primary care and continuing care.2\n\n\nEffective quality assurance and safe care are essential rights of all users of the health services.\n\nAchieving the standards set by the Irish Health Services Accreditation Board will ensure that all\n\nhospitals are providing such care.\n\n\n\nEmergency admissions\n\nAn emergency hospital admission is defined as one that is not planned and which results from', 'What are the Principles Underpinning\n\nBest Practice in Hospital Admissions?\n\n\n\n          A number of principles should underpin the development of an effective emergency and elective\n\n             admissions and discharge planning function. These include:\n\n\n              •  The provision of patient centred services, which are accessible to the population without\n\n                  compromising safety, quality and clinical standards, to the right people in the right\n\n                     location and at the right time.1\n\n              •  Patients should be consulted and included in all decisions about their care.']",An emergency hospital admission is defined as one that is not planned and which results from trauma (injury) or acute illness which cannot be treated on an outpatient basis.,An emergency hospital admission is an unplanned admission resulting from trauma or acute illness that cannot be treated on an outpatient basis.,1.0,0.9782120644132938,0.99999999995,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
"According to the guidelines, when should discharge planning begin?","['Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient', '•  The planning for the patient’s discharge from hospital should begin at the pre-\n\n      admission visit and co-ordination of the patient’s care for both admission and\n\n       discharge is commenced at the pre-admission visit.\n\n   •  Patient information is co-ordinated and made available to all relevant providers in an\n\n        efficient and timely manner.\n\n   •  Pre-admission planning to facilitate ‘day of surgery admission’ where appropriate.\n\n   •  Pre-admission services may require a dedicated individual e.g. Admissions Manager.\n\n   •  Referral pathways for primary care should enhance service delivery and complement', 'admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient\n\n      and relevant personnel within 24 hours of admission.\n\n   •  Discharge should be “streamlined” (e.g. prescriptions and letter should be completed in a\n\n       timely manner, transport booked and test results made available promptly).\n\n   •  Complex discharges should be discussed at a regular multidisciplinary forum to ensure\n\n       discharge is expedited.\n\n\n\nWhat are the processes required for effective discharge planning?\n\n   •  There should be an organisation led commitment to manage all hospital beds.']",Discharge planning should begin at the pre-admission visit.,Discharge planning should begin during the pre-admission stage and continue from the day of admission.,1.0,0.9606018686817213,0.9999999999666667,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
What information should patients receive during the pre-admission visit?,"['aspects of pre-admission assessment may be undertaken by the Primary Care Team if\n\n       appropriate.\n\n   •  Pre-admission assessment aims to optimise a patient’s health status before planned\n\n      admission to hospital.\n\n   •  At the pre-admission visit, the patient and his/her carers are properly informed about\n\n        their medical condition, proposed treatment and likely hospital procedures.\n\n   •  The patient’s General Practitioner and/or the Primary Care Team with which the patient\n\n         is enrolled should be involved in the pre-admission process, as appropriate.\n\n   •  The planning for the patient’s discharge from hospital should begin at the pre-', 'Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient', '•  The anticipated length of stay (this should be indicated as early as possible to facilitate\n\n       scheduling) for elective admissions should be indicated as early as possible to facilitate\n\n       scheduling.\n\n   •  Increased day surgery can also be supported by before admission assessment to ensure\n\n       appropriate scheduling and to minimise transfer to inpatient beds.\n\n   •  Discharge lounges may be used to facilitate early discharge as well as accommodation for\n\n      “day of surgery” arrivals and timely commencement of theatre lists.\n\n\n\nDischarges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and']","During the pre-admission visit, patients and their carers should be properly informed about their medical condition, proposed treatment, and likely hospital procedures.","Patients and their carers should be informed about the patient's medical condition, proposed treatment, and likely hospital procedures.",1.0,0.9392964791917192,0.9999999999,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
Into which five categories should Emergency Department patients be streamed?,"['beds).\n\n   •  Early Senior Medical decision making available at the point of admission.\n\n   •  Close multidisciplinary team work.\n\n   •  National agreed standardised triage processes to ensure clinical prioritisation of patients\n\n     on their arrival in the Emergency Department and to ensure timely and appropriate care is\n\n       delivered.\n\n   •  Patients should be streamed into the following categories:\n\n          - resuscitation;\n\n          - minor illness and injury stream (patients who are unlikely to be admitted);\n\n          - paediatric cases;\n\n          - specialised medical/surgical team assessment for patients who may require\n\n            admission; and', '- paediatric cases;\n\n          - specialised medical/surgical team assessment for patients who may require\n\n            admission; and\n\n          - psychiatric case assessment service.\n\n   •  Care pathways to minimise delays in the Emergency Department if admission is definite.\n\n      These pathways should be developed in consultation with the relevant professionals and\n\n       stakeholders.\n\n   •  Rapid access facilities such as Medical Assessment Units (MAU) requiring robust, specific\n\n      and auditable operational policies.\n\n   •  Protocols for transfer of patients within and between regional areas and tertiary units to', 'What are the important factors in admitting patients from the Emergency\n\nDepartment (ED)?\n\n   •  Extended access to rapid assessment clinics and outpatient radiology and pathology\n\n        services.\n\n   •  Rapid assessment and extended access to diagnostics (unnecessary delays in admitting\n\n      and/or discharging patients from hospital may arise from avoidable delays in patient\n\n      assessment by specialists, duplication of tests or the absence of high or low dependency\n\n       beds).\n\n   •  Early Senior Medical decision making available at the point of admission.\n\n   •  Close multidisciplinary team work.']","Emergency Department patients should be streamed into the following five categories:

1. Resuscitation
2. Minor illness and injury stream (patients who are unlikely to be admitted)
3. Paediatric cases
4. Specialised medical/surgical team assessment for patients who may require admission
5. Psychiatric case assessment service","Patients should be streamed into resuscitation, minor illness and injury, paediatric cases, specialised medical or surgical assessment, and psychiatric assessment.",1.0,0.9841737677421364,0.99999999995,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
What are the core principles of effective discharge planning?,"['Discharges\n\n\n\nDischarge planning should commence pre-admission. On admission, the patient’s pre-morbid and\n\nfunctional status information are documented in order to inform discharge planning and to\n\nidentify patients at risk on returning home. In this way, referrals to inter-hospital and community\n\nservices are initiated in a timely manner.\n\n\n\nWhat are the principles of effective discharge planning?\n\nThe core principles for effective discharge planning are:\n\n   •  A patient’s use of a hospital bed and their discharge should be planned before their\n\n       admission, where possible.\n\n   •  The estimated date of discharge should be documented and communicated to the patient', 'What are the Principles Underpinning\n\nBest Practice in Hospital Admissions?\n\n\n\n          A number of principles should underpin the development of an effective emergency and elective\n\n             admissions and discharge planning function. These include:\n\n\n              •  The provision of patient centred services, which are accessible to the population without\n\n                  compromising safety, quality and clinical standards, to the right people in the right\n\n                     location and at the right time.1\n\n              •  Patients should be consulted and included in all decisions about their care.', '•  Analysis of trends and data should be undertaken by the discharge co-ordinator/bed\n\n      manager and communicated to the emergency services planning forum at local level.\n\n      Performance measures and indicators of effective case management are developed,\n\n      monitored and reviewed.\n\n   •  Multidisciplinary teamwork is the key to success with discharge planning. A patient’s\n\n       discharge plan is co-ordinated by a nominated member of the multidisciplinary team.\n\n      General practitioners, Primary Care Teams and community providers are involved in the\n\n       discharge process.\n\n   •  Patients and their carers should be partners in the discharge planning process.']","The core principles for effective discharge planning are:

   •  A patient’s use of a hospital bed and their discharge should be planned before their admission, where possible.

   •  The estimated date of discharge should be documented and communicated to the patient.","Hospital bed use and discharge should be planned before admission where possible, the estimated discharge date should be documented within 24 hours, discharge should be streamlined, and complex discharges should be discussed in multidisciplinary forums.",1.0,0.9954990353567216,0.8333333332916666,0.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
Who should coordinate a patient's discharge plan?,"['planning may be co-ordinated by a named person who has responsibility for co-ordinating\n\n         all stages of the “patient journey”.\n\n   •  Effective use is made of transitional and intermediate care services, so that existing acute\n\n       hospital capacity is used appropriately and individuals achieve their optimal health\n\n      outcome.1\n\n   •  Specialised expertise and/or support services for special needs cases e.g. the homeless and\n\n       ethnic minorities.\n\n\n\n\n\nAdmissions and Discharge Guidelines - 12', '•  Patients should co-sign their own discharge letter ensuring that their discharge\n\n       instructions have been clearly explained to them.\n\n\n\n\n\nAdmissions and Discharge Guidelines - 20', 'and users.\n\n   •  A range of tools to support effective service delivery, including:\n\n          - Referral guidelines and protocols for consultant care and diagnostic services.\n\n          - Discharge plans agreed between the hospital and a key worker in primary care.\n\n          - Discharge planning that commences on day of admission.\n\n          - Efficient communication from acute care service providers e.g. discharge letter\n\n          accompany patient or/and e-mailed to GPs and key worker on or before the day\n\n            of discharge.\n\n          - Integrated care pathways facilitated by key workers.']","The coordination of a patient's discharge plan may be managed by a named person who has the responsibility for coordinating all stages of the ""patient journey.""",A nominated member of the multidisciplinary team should coordinate the patient's discharge plan.,1.0,0.8975038032973411,0.8333333332916666,1.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
What responsibilities are assigned to the Hospital Bed Manager?,"['A patient’s episode of care should be planned before his/her admission and should take account\n\nof the entire “journey” up to and after discharge from hospital. Patient’s and their carers should\n\nbe partners in this planning. Bed management should be overseen by a Hospital Bed Manager\n\n(HBM) who has the authority to implement the bed management policy and to co-ordinate the\n\nbed management team. The bed management service should operate on a permanent basis, i.e.\n\nfor 24 hours on every day of the year. The bed manager reports to a senior member of\n\nmanagement. Part of their role would include continuous analysis and the provision of reports\n\nand forecasts.', 'management. Part of their role would include continuous analysis and the provision of reports\n\nand forecasts.\n\n\nThe function of allocating beds to patients should be centralised and the Hospital Bed Manager\n\nshould have authority over the access to all hospital beds. There should be an awareness of the\n\nbed designation ration as set out by the Department of Health and Children. The Hospital Bed\n\nManager should work within the notional allocation of beds to each speciality to ensure that\n\npatients are accommodated in the most appropriate bed available at the time of their admission,\n\nand to ensure that patients are cared for by staff with the appropriate expertise.', '•  Greater emphasis on ensuring that in admitting elective patients, consideration is given to\n\n      the length of time they have been waiting since the decision to admit was taken - taking\n\n      account of their clinical needs.\n\n   •  Greater standardisation of waiting list administration with consistent monitoring of\n\n       cancellations, suspensions and removal from lists without treatment.\n\n   •  Emphasis on planning discharge from day of admission.\n\n   •  The adoption of a whole systems approach to bed management.\n\n   •  The appointment of a manager or clinician with sufficient authority and support to']","The responsibilities assigned to the Hospital Bed Manager include:

1. Oversight of bed management, ensuring it operates permanently, 24 hours a day, throughout the year.
2. Authority to implement the bed management policy and coordinate the bed management team.
3. Centralized allocation of beds to patients.
4. Continuous analysis and provision of reports and forecasts.
5. Working within the notional allocation of beds to each speciality to accommodate patients in the most appropriate bed available.
6. Ensuring patients are cared for by staff with the appropriate expertise.","The Hospital Bed Manager oversees bed management, coordinates bed allocation, manages hospital bed resources, monitors bed utilization, and reports to senior management.",1.0,0.9959702061490526,0.9999999999666667,0.0,all-mpnet-base-v2_chunk700_overlap150_k15_fetch30_lambda0.4_mmr_rerank5_bge-reranker-base,2026-07-01 12:17:17,700,150,15,30,0.4,True,BAAI/bge-reranker-base,5,sentence-transformers/all-mpnet-base-v2,mmr,gpt-4o-mini,gpt-5.4-mini
